https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1750464000,2025-06-21 00:00:00,BTC/USDT,103101,103101,103101,103101,0.00000000,0.0
1750377600,2025-06-20 00:00:00,BTC/USDT,104679,106404,102405,103101,1.73473693,178853.11221993
1750291200,2025-06-19 00:00:00,BTC/USDT,105073,105214,103942,104657,2.41229586,252463.64782002
1750204800,2025-06-18 00:00:00,BTC/USDT,104592,105521,103520,104789,1.26491258,132548.92434562
1750118400,2025-06-17 00:00:00,BTC/USDT,106781,107665,103425,104647,2.61381930,273528.3482871
1750032000,2025-06-16 00:00:00,BTC/USDT,105537,108841,105073,106794,1.74731970,186603.2600418
1749945600,2025-06-15 00:00:00,BTC/USDT,105437,106074,104506,105596,1.21619489,128425.31560444
1749859200,2025-06-14 00:00:00,BTC/USDT,106085,106218,104365,105417,0.93951894,99041.26809798
1749772800,2025-06-13 00:00:00,BTC/USDT,105644,106074,102561,105992,14.54124311,1541255.43971512
1749686400,2025-06-12 00:00:00,BTC/USDT,108605,108671,105787,105787,2.05039687,216905.33368669002
1749600000,2025-06-11 00:00:00,BTC/USDT,110039,110292,108220,108657,1.62748056,176837.15520792
1749513600,2025-06-10 00:00:00,BTC/USDT,110010,110283,108442,110214,11.85245954,1306306.97574156
1749427200,2025-06-09 00:00:00,BTC/USDT,105643,110503,105349,110295,1.62406055,179125.75836225
1749340800,2025-06-08 00:00:00,BTC/USDT,105477,106330,105012,105733,4.56426017,482592.92055460997
1749254400,2025-06-07 00:00:00,BTC/USDT,104295,105900,103990,105735,4.64728344,491380.5145284
1749168000,2025-06-06 00:00:00,BTC/USDT,101491,105275,101220,104315,2.41633002,252059.46603630003
1749081600,2025-06-05 00:00:00,BTC/USDT,104696,105699,100550,101565,2.17189056,220588.0647264
1748995200,2025-06-04 00:00:00,BTC/USDT,105490,105952,104266,104682,0.39322089,41163.14920698
1748908800,2025-06-03 00:00:00,BTC/USDT,105785,106747,104921,105301,0.56149458,59125.940768579996
1748822400,2025-06-02 00:00:00,BTC/USDT,105688,105916,103702,105775,2.72427753,288160.45573575003
1748736000,2025-06-01 00:00:00,BTC/USDT,104555,105820,103813,105714,6.65019242,703018.44148788
1748649600,2025-05-31 00:00:00,BTC/USDT,104165,104866,103234,104688,1.67223297,175062.72516336
1748563200,2025-05-30 00:00:00,BTC/USDT,105741,106245,103734,103956,2.39041653,248498.14079268
1748476800,2025-05-29 00:00:00,BTC/USDT,107670,108892,105425,105425,4.78667943,504635.67890775006
1748390400,2025-05-28 00:00:00,BTC/USDT,108907,109104,106838,107794,1.29065425,139124.7842245
1748304000,2025-05-27 00:00:00,BTC/USDT,109504,110696,107753,108935,2.18104205,237591.81571675
1748217600,2025-05-26 00:00:00,BTC/USDT,108909,110235,108858,109431,0.85879913,93979.24759503
1748131200,2025-05-25 00:00:00,BTC/USDT,107987,109037,106767,108597,0.83750984,90951.05609448
1748044800,2025-05-24 00:00:00,BTC/USDT,107578,109361,107578,107609,0.55944310,60201.1125479
1747958400,2025-05-23 00:00:00,BTC/USDT,111524,111544,106828,107059,4.19001288,448578.58891992003
1747872000,2025-05-22 00:00:00,BTC/USDT,109611,111910,109600,111677,9.52235231,1063427.73892387
1747785600,2025-05-21 00:00:00,BTC/USDT,106748,110565,106205,109714,7.82768486,858806.6167300399
1747699200,2025-05-20 00:00:00,BTC/USDT,105562,107108,104293,106761,2.05285966,219165.35016126002
1747612800,2025-05-19 00:00:00,BTC/USDT,106337,106999,102112,105566,9.98268228,1053831.83757048
1747526400,2025-05-18 00:00:00,BTC/USDT,103142,106463,103089,106463,1.80028017,191663.22773871
1747440000,2025-05-17 00:00:00,BTC/USDT,103502,103690,102690,103196,1.64277543,169527.85327428
1747353600,2025-05-16 00:00:00,BTC/USDT,103718,104473,103351,103523,2.25354462,233293.69969626
1747267200,2025-05-15 00:00:00,BTC/USDT,103492,104035,101642,103778,4.30898306,447177.64400068
1747180800,2025-05-14 00:00:00,BTC/USDT,103981,104188,103046,103516,8.06435333,834789.5993082799
1747094400,2025-05-13 00:00:00,BTC/USDT,102771,104902,101569,104101,1.56525221,162944.32031321
1747008000,2025-05-12 00:00:00,BTC/USDT,104145,105722,101598,102868,6.71000224,690244.51042432
1746921600,2025-05-11 00:00:00,BTC/USDT,104899,104899,103396,104013,1.29880302,135092.39851926
1746835200,2025-05-10 00:00:00,BTC/USDT,103069,104971,102740,104689,0.94167632,98583.15226448
1746748800,2025-05-09 00:00:00,BTC/USDT,103115,104181,102480,103023,2.38167017,245366.80592391
1746662400,2025-05-08 00:00:00,BTC/USDT,97081,104041,96927,103135,6.44578436,664785.9699686
1746576000,2025-05-07 00:00:00,BTC/USDT,96896,97471,95972,97046,5.13885943,498705.75224378
1746489600,2025-05-06 00:00:00,BTC/USDT,94718,96533,93557,96533,2.81217576,271467.76264008
1746403200,2025-05-05 00:00:00,BTC/USDT,94258,95087,93727,94734,0.92540156,87666.99138503999
1746316800,2025-05-04 00:00:00,BTC/USDT,95906,96251,94183,94330,1.53069486,144390.4461438
1746230400,2025-05-03 00:00:00,BTC/USDT,96910,96910,95776,95855,0.43722766,41910.4573493
1746144000,2025-05-02 00:00:00,BTC/USDT,96577,97735,96385,96808,1.30430304,126266.96869632
1746057600,2025-05-01 00:00:00,BTC/USDT,94241,97328,94241,96334,2.79271910,269033.8017794
1745971200,2025-04-30 00:00:00,BTC/USDT,94230,95234,93065,94288,3.73366698,352039.99221024005
1745884800,2025-04-29 00:00:00,BTC/USDT,94945,95361,93869,94236,1.92364892,181276.97962512
1745798400,2025-04-28 00:00:00,BTC/USDT,93752,95514,92820,95026,1.52558888,144970.60891088
1745712000,2025-04-27 00:00:00,BTC/USDT,94595,95271,93649,93751,0.76410903,71635.98567153
1745625600,2025-04-26 00:00:00,BTC/USDT,94670,95196,93942,94626,0.47921980,45346.6527948
1745539200,2025-04-25 00:00:00,BTC/USDT,93936,95722,93100,94613,2.44931452,231736.99468076002
1745452800,2025-04-24 00:00:00,BTC/USDT,93572,93975,91982,93932,1.27020970,119313.33754040001
1745366400,2025-04-23 00:00:00,BTC/USDT,93531,94579,92204,93609,2.71875881,254500.29344529
1745280000,2025-04-22 00:00:00,BTC/USDT,87688,93860,87319,93413,4.47626855,418141.67406115006
1745193600,2025-04-21 00:00:00,BTC/USDT,85401,88452,85401,87472,1.53190655,133998.9297416
1745107200,2025-04-20 00:00:00,BTC/USDT,85086,85282,84170,85082,0.46615583,39661.47032806
1745020800,2025-04-19 00:00:00,BTC/USDT,84474,85503,84451,85192,0.67795149,57756.04333608
1744934400,2025-04-18 00:00:00,BTC/USDT,84888,85060,84346,84473,0.94962069,80217.30854637
1744848000,2025-04-17 00:00:00,BTC/USDT,83974,85356,83965,84910,1.84176595,156384.34681450002
1744761600,2025-04-16 00:00:00,BTC/USDT,83500,85398,83162,84468,1.99188359,168250.42308012
1744675200,2025-04-15 00:00:00,BTC/USDT,84648,86322,83656,83656,1.87767395,157078.6919612
1744588800,2025-04-14 00:00:00,BTC/USDT,83779,85555,83779,84492,2.76744114,233826.63680088
1744502400,2025-04-13 00:00:00,BTC/USDT,85280,86004,83086,83293,1.71438027,142795.87582910998
1744416000,2025-04-12 00:00:00,BTC/USDT,83338,85640,82916,85307,1.03332432,88149.79776624
1744329600,2025-04-11 00:00:00,BTC/USDT,79593,84155,78996,83394,6.21698747,518459.45307318005
1744243200,2025-04-10 00:00:00,BTC/USDT,82417,82546,78622,79492,9.09724347,723158.07791724
1744156800,2025-04-09 00:00:00,BTC/USDT,76227,83500,74707,82574,18.49437414,1527154.45023636
1744070400,2025-04-08 00:00:00,BTC/USDT,79206,80570,76432,76491,8.97395268,686426.61444588
1743984000,2025-04-07 00:00:00,BTC/USDT,78388,80881,74522,79146,23.14666230,1831965.7343958
1743897600,2025-04-06 00:00:00,BTC/USDT,83513,83688,77494,78394,8.59124152,673501.78771888
1743811200,2025-04-05 00:00:00,BTC/USDT,83679,84228,82616,83216,1.06569939,88683.24043824
1743724800,2025-04-04 00:00:00,BTC/USDT,83216,84618,81751,83877,16.14212535,1353953.04798195
1743638400,2025-04-03 00:00:00,BTC/USDT,82462,83785,81230,83094,12.02809184,999462.26335296
1743552000,2025-04-02 00:00:00,BTC/USDT,85132,88184,82329,82517,23.03596589,1900858.79734513
1743465600,2025-04-01 00:00:00,BTC/USDT,82696,86369,82568,85228,75.96505916,6474350.062088479
1743379200,2025-03-31 00:00:00,BTC/USDT,82393,83724,81362,82333,3.87753008,319248.68407664
1743292800,2025-03-30 00:00:00,BTC/USDT,82602,83518,81590,82679,0.62470168,51649.71020072
1743206400,2025-03-29 00:00:00,BTC/USDT,84462,84462,81875,82625,1.22288673,101041.01606625
1743120000,2025-03-28 00:00:00,BTC/USDT,87232,87505,83217,84226,30.85703950,2598965.0089269998
1743033600,2025-03-27 00:00:00,BTC/USDT,86896,87669,85976,87240,23.49974371,2050117.6412604
1742947200,2025-03-26 00:00:00,BTC/USDT,87469,88262,86270,86899,1.78384238,155014.11897962002
1742860800,2025-03-25 00:00:00,BTC/USDT,87493,88500,86418,87430,2.15373827,188301.3369461
1742774400,2025-03-24 00:00:00,BTC/USDT,86076,88668,85552,87557,2.80588005,245674.43953784998
1742688000,2025-03-23 00:00:00,BTC/USDT,83805,86076,83805,86076,1.04265431,89747.51238756001
1742601600,2025-03-22 00:00:00,BTC/USDT,84091,84507,83744,83811,1.51555767,127020.40388037
1742515200,2025-03-21 00:00:00,BTC/USDT,84308,84803,83385,84057,1.66987248,140364.47105136
1742428800,2025-03-20 00:00:00,BTC/USDT,86925,87415,83813,84030,100.69743245,8461605.2487735
1742342400,2025-03-19 00:00:00,BTC/USDT,82723,86935,82647,86813,59.59546163,5173660.81048519
1742256000,2025-03-18 00:00:00,BTC/USDT,83942,83942,81184,82704,7.96186648,658478.2053619201
1742169600,2025-03-17 00:00:00,BTC/USDT,82531,84601,82531,84050,3.28423969,276040.3459445
1742083200,2025-03-16 00:00:00,BTC/USDT,84346,85080,82171,82561,5.37818802,444028.58111921995
1741996800,2025-03-15 00:00:00,BTC/USDT,84202,84641,83713,84383,0.46355955,39116.54550765
1741910400,2025-03-14 00:00:00,BTC/USDT,80989,85289,80918,83966,18.85992796,1583592.71108936
1741824000,2025-03-13 00:00:00,BTC/USDT,83615,84282,80289,81161,2.52491013,204924.23106092997
1741737600,2025-03-12 00:00:00,BTC/USDT,82908,84297,80716,83586,7.03500437,588027.87527082
1741651200,2025-03-11 00:00:00,BTC/USDT,78754,83412,76797,82925,9.48818400,786807.6582000001
1741564800,2025-03-10 00:00:00,BTC/USDT,80755,83709,77485,78674,18.15479523,1428310.35992502
1741478400,2025-03-09 00:00:00,BTC/USDT,86195,86494,80089,80628,11.30706782,911666.26419096
1741392000,2025-03-08 00:00:00,BTC/USDT,86764,86902,85300,86197,2.93382904,252887.26176088
1741305600,2025-03-07 00:00:00,BTC/USDT,90428,91103,84644,86808,10.17170088,882985.00999104
1741219200,2025-03-06 00:00:00,BTC/USDT,90749,92663,88116,90011,4.03449537,363148.96274907
1741132800,2025-03-05 00:00:00,BTC/USDT,87078,90995,86707,90632,8.06355301,730815.9364023199
1741046400,2025-03-04 00:00:00,BTC/USDT,86112,88760,81485,87361,12.58264559,1099232.50138799
1740960000,2025-03-03 00:00:00,BTC/USDT,94220,94220,85136,86474,10.40717073,899949.68170602
1740873600,2025-03-02 00:00:00,BTC/USDT,86025,94944,85137,94344,12.17904425,1149019.7507220001
1740787200,2025-03-01 00:00:00,BTC/USDT,84429,86372,84046,85927,1.66988955,143488.59936285
1740700800,2025-02-28 00:00:00,BTC/USDT,84714,84881,78349,84218,7.17979661,604668.1109009801
1740614400,2025-02-27 00:00:00,BTC/USDT,84557,87006,82958,84821,7.81454995,662837.94130895
1740528000,2025-02-26 00:00:00,BTC/USDT,88552,89356,82595,83996,9.56993274,803836.07042904
1740441600,2025-02-25 00:00:00,BTC/USDT,91470,92526,86123,88745,13.13157289,1165361.43612305
1740355200,2025-02-24 00:00:00,BTC/USDT,96278,96469,91361,91361,7.23220079,660741.0963751901
1740268800,2025-02-23 00:00:00,BTC/USDT,96526,96633,95258,95980,0.98473110,94514.490978
1740182400,2025-02-22 00:00:00,BTC/USDT,96179,96938,95845,96572,1.39670327,134882.42819044
1740096000,2025-02-21 00:00:00,BTC/USDT,98437,99367,95033,96193,7.11435851,684351.4881524299
1740009600,2025-02-20 00:00:00,BTC/USDT,96644,98585,96482,98314,4.02852256,396060.16696383996
